Isotope;Activity concentration for exempt material (kBq/kg);Activity limit for an exempt consignment (Bq) ;A1 [TBq];A2 [TBq];Transport Security Threshold [TBq];D-Value [TBq];Desintegration [Years]
Hg-194;10;1000000;1;1;3000;0,07;#N/A
Hg-195m;100;1000000;3;0,7;2100;0,2;#N/A
Hg-197;100;10000000;20;10;30000;2;0,007310062
Hg-197m;100;1000000;10;0,4;1200;0,7;#N/A
Hg-203;100;100000;5;1;3000;0,3;0,127583847
Ho-166;1000;100000;0,4;0,4;1200;2;#N/A
Ho-166m;10;1000000;0,6;0,5;1500;0,04;#N/A
I-121;100;1000000;;;;;0,000242
I-123;100;10000000;6;3;9000;0,5;0,001505818
I-124;10;1000000;1;1;3000;0,06;0,011444216
I-125;1000;1000000;20;3;9000;0,2;0,164544832
I-126;100;1000000;2;1;3000;0,1;#N/A
I-129;100;100000;UL;UL;UL;UL;15700000
I-131;100;1000000;3;0,7;2100;0,2;0,02201232
I-132;10;100000;0,4;0,4;1200;0,03;0,00026155
I-133;10;1000000;0,7;0,6;1800;0,1;0,002372804
I-134;10;100000;0,3;0,3;900;0,03;#N/A
I-135;10;1000000;0,6;0,6;1800;0,04;#N/A
In-111;100;1000000;3;3;9000;0,2;0,007748118
In-113m;100;1000000;4;2;6000;0,3;#N/A
In-114m;100;1000000;10;0,5;1500;0,8;0,1375
In-115m;100;1000000;7;1;3000;0,4;#N/A
Ir-189;100;10000000;10;10;30000;1;#N/A
Ir-190;10;1000000;0,7;0,7;2100;0,05;0,032251882
Ir-192;10;10000;1;0,6;0,8;0,08;0,202600958
Ir-194;100;100000;0,3;0,3;900;0,7;#N/A
K-40;100;1000000;0,9;0,9;2700;0,2;1280000000
K-43;10;1000000;0,7;0,6;1800;0,07;#N/A
Kr-81;10000;10000000;40;40;120000;30;#N/A
Kr-85;100000;10000;10;10;30000;30;10,7
Kr-85m;1000;10000000000;8;3;9000;0,5;#N/A
Kr-87;100;1000000000;0,2;0,2;600;0,09;#N/A
Kr-88;100;1000000000;;;;;0,0003242
La-137;1000;10000000;30;6;18000;20;#N/A
La-140;10;100000;0,4;0,4;1200;0,03;0,004599589
Lu-172;10;1000000;0,6;0,6;1800;0,04;0,0183436
Lu-173;100;10000000;8;8;24000;0,9;#N/A
Lu-174;100;10000000;9;9;27000;0,8;#N/A
Lu-174m;100;10000000;20;10;30000;0,6;#N/A
Lu-177;1000;10000000;30;0,7;2100;2;0,018370979
Lu-177m;10;1000000;;;;;0,43945
Mg-28;10;100000;0,3;0,3;900;0,02;#N/A
Mn-52;10;100000;0,3;0,3;900;0,02;#N/A
Mn-53;10000;1000000000;UL;UL;UL;UL;#N/A
Mn-54;10;1000000;1;1;3000;0,08;0,854209446
Mn-56;10;100000;0,3;0,3;900;0,04;0,000294319
Mo-93;1000;100000000;40;20;60000;300;#N/A
Mo-99;100;1000000;1;0,6;1800;0,3;0,00752909
N-13;100;1000000000;0,9;0,6;1800;0,06;#N/A
Na-22;10;1000000;0,5;0,5;1500;0,03;2,6
Na-24;10;100000;0,2;0,2;600;0,02;0,001711157
Nb-93m;10000;10000000;40;30;90000;300;#N/A
Nb-94;10;1000000;0,7;0,7;2100;0,04;#N/A
Nb-95;10;1000000;1;1;3000;0,09;0,096098563
Nb-97;10;1000000;0,9;0,6;1800;0,1;#N/A
Nd-147;100;1000000;6;0,6;1800;0,6;#N/A
Nd-149;100;1000000;0,6;0,5;1500;0,2;#N/A
Ni-59;10000;100000000;UL;UL;UL;1000;#N/A
Ni-63;100000;100000000;40;30;600;60;100
Ni-65;10;1000000;0,4;0,4;1200;0,1;0,000287474
Np-235;1000;10000000;40;40;120000;100;#N/A
Np-236a;100;100000;9;0,02;60;0,007;#N/A
Np-236b;1000;10000000;20;2;6000;0,8;#N/A
Np-237;1;1000;20;0,002;6;0,07;2140000
Np-239;100;10000000;7;0,4;1200;0,5;0,006461328
Os-185;10;1000000;1;1;3000;0,1;#N/A
Os-191;100;10000000;10;2;6000;2;#N/A
Os-191m;1000;10000000;40;30;90000;1;#N/A
Os-193;100;1000000;2;0,6;1800;1;#N/A
Os-194;100;100000;0,3;0,3;900;0,7;#N/A
P-32;1000;100000;0,5;0,5;1500;10;0,039151266
P-33;100000;100000000;40;1;3000;200;0,06954141
Pa-230;10;1000000;2;0,07;210;0,1;#N/A
Pa-231;1;1000;4;0,0004;1,2;0,06;#N/A
Pa-233;100;10000000;5;0,7;2100;0,4;#N/A
Pb-201;10;1000000;1;1;3000;0,09;#N/A
Pb-202;1000;1000000;40;20;60000;0,2;#N/A
Pb-203;100;1000000;4;3;9000;0,2;#N/A
Pb-205;10000;10000000;UL;UL;UL;UL;#N/A
Pb-210;10;10000;1;0,05;150;0,3;22,3
Pb-212;10;100000;0,7;0,2;600;0,05;#N/A
Pb-214;100;1000000;;;;;0,0000514
Pd-103;1000;100000000;40;40;900;90;#N/A
Pd-107;100000;100000000;UL;UL;UL;UL;#N/A
Pd-109;1000;1000000;2;0,5;1500;20;#N/A
Pm-143;100;1000000;3;3;9000;0,2;#N/A
Pm-144;10;1000000;0,7;0,7;2100;0,04;#N/A
Pm-145;1000;10000000;30;10;30000;10;17,7
Pm-147;10000;10000000;40;2;400;40;2,62
Pm-148m;10;1000000;0,8;0,7;2100;0,03;#N/A
Pm-149;1000;1000000;2;0,6;1800;6;#N/A
Pm-151;100;1000000;2;0,6;1800;0,2;#N/A
Po-210;10;10000;40;0,02;0,6;0,06;0,377823409
Pr-142;100;100000;0,4;0,4;1200;1;#N/A
Pr-143;10000;1000000;3;0,6;1800;30;0,03714
Pt-188;10;1000000;1;0,8;2400;0,04;#N/A
Pt-191;100;1000000;4;3;9000;0,3;#N/A
Pt-193;10000;10000000;40;40;120000;3000;#N/A
Pt-193m;1000;10000000;40;0,5;1500;10;#N/A
Pt-195m;100;1000000;10;0,5;1500;2;#N/A
Pt-197;1000;1000000;20;0,6;1800;4;#N/A
Pt-197m;100;1000000;10;0,6;1800;0,9;#N/A
Pu-236;10;10000;30;0,003;9;0,1;#N/A
Pu-237;1000;10000000;20;20;60000;2;#N/A
Pu-238;1;10000;10;0,001;0,6;0,06;87,7
Pu-239;1;10000;10;0,001;0,6;0,06;24100
Pu-240;1;1000;10;0,001;3;0,06;6561
Pu-241;100;100000;40;0,06;180;3;#N/A
Pu-242;1;10000;10;0,001;3;0,07;#N/A
Pu-244;1;10000;0,4;0,001;3;0,0003;#N/A
Pu-Be;1;10000;0,4;0,001;3;0,06;24000
Ra-223;100;100000;0,4;0,007;21;0,1;0,031293634
Ra-224;10;100000;0,4;0,02;60;0,05;0,010020534
Ra-225;100;100000;0,2;0,004;12;0,1;#N/A
Ra-226;10;10000;0,2;0,003;0,4;0,04;1600
Ra-228;10;100000;0,6;0,02;60;0,03;5,74
Rb-81;10;1000000;2;0,8;2400;0,1;#N/A
Rb-83;100;1000000;2;2;6000;0,1;#N/A
Rb-84;10;1000000;1;1;3000;0,07;0,089801506
